score_difference,player_burst_prob,opponent_burst_prob,remaining_cards_num,round,player_life,opponent_life,draw_card
6,0.2,0.85,8,1,5,4,TRUE
7,0.12,0.53,4,7,1,4,TRUE
10,0.63,0.87,5,5,1,3,FALSE
2,0.59,0.1,2,6,1,5,FALSE
0,0.85,0.18,5,2,2,2,FALSE
4,0.54,0.78,7,7,1,2,FALSE
12,0.09,0.86,5,2,1,4,FALSE
18,0.1,0.51,4,6,2,2,TRUE
16,0.02,0.22,6,3,4,5,TRUE
16,0.16,0.84,5,4,5,3,FALSE
4,0.93,0.45,4,3,5,4,FALSE
9,0.13,0.52,5,2,3,1,FALSE
5,0.32,0.19,7,3,5,3,TRUE
1,0.66,0.01,3,3,5,3,FALSE
15,0.43,0.25,8,3,4,4,TRUE
11,0.55,0.34,3,4,1,3,FALSE
11,0.16,0.17,2,2,1,1,FALSE
2,0.84,0.43,5,4,2,1,FALSE
12,0.12,0.97,6,2,3,4,TRUE
1,0.88,0.76,1,6,4,5,FALSE
4,0.85,0.55,5,5,5,2,FALSE
2,0.25,0.22,2,5,1,3,FALSE
2,0.89,0.14,3,6,5,3,FALSE
2,0.98,0.94,7,1,3,5,FALSE
2,0.3,0.75,2,2,1,3,FALSE
18,0.78,0.96,6,7,2,4,FALSE
0,0.71,0.16,4,5,5,2,FALSE
9,0.55,0.7,3,3,2,1,TRUE
2,0.27,0.2,4,7,1,3,TRUE
0,0.93,0.98,3,3,3,5,FALSE
9,0.69,0.23,2,6,5,3,FALSE
3,0.71,0.09,1,4,4,3,FALSE
10,0.11,0.94,2,7,4,2,FALSE
7,0.41,0.26,3,1,1,5,FALSE
4,0.58,0.41,6,6,4,3,TRUE
4,0.06,0.19,3,4,1,3,TRUE
18,0.28,0.05,3,6,5,5,FALSE
17,0.05,0.51,3,6,5,4,FALSE
5,0.86,0.84,8,6,4,1,FALSE
13,0.24,0.19,8,5,2,5,TRUE
5,0.02,0.96,6,5,4,4,FALSE
6,0.54,0.11,4,4,1,3,TRUE
4,0.88,0.49,4,6,1,5,FALSE
9,0.36,0.78,1,6,3,1,FALSE
5,0.17,0.03,5,1,1,3,TRUE
10,0.87,0.9,4,7,1,3,FALSE
3,0.33,0.05,8,4,5,4,TRUE
13,0.8,0.2,3,3,2,1,FALSE
9,0.27,0.52,8,4,5,4,FALSE
2,0.65,0.53,5,1,4,1,FALSE
9,0.81,0.01,8,6,5,4,TRUE
4,0.45,0.22,8,1,4,3,TRUE
14,0.96,0.6,3,4,2,4,FALSE
11,0.91,0.7,6,7,5,1,FALSE
3,0.34,0.51,2,1,5,1,FALSE
15,0.85,0.06,8,1,3,3,FALSE
8,0.66,0.51,6,1,2,2,FALSE
9,0.11,0.91,5,7,4,2,FALSE
11,0.76,0.88,7,7,4,5,FALSE
7,0.19,0.03,6,5,5,3,TRUE
8,0.16,0.69,1,6,3,5,FALSE
10,0.91,0.11,3,5,1,3,FALSE
2,0.45,0.29,5,2,2,1,TRUE
2,0.94,0.44,2,3,1,5,FALSE
9,0.85,0.17,4,7,1,5,TRUE
4,0.17,0.23,4,5,2,2,TRUE
8,0.55,0.96,2,4,5,3,FALSE
16,0.54,0.73,6,5,1,3,TRUE
12,0.03,0.13,4,3,2,5,TRUE
14,0.77,0.38,8,3,3,2,FALSE
1,0.24,0.17,5,7,4,3,TRUE
10,0.04,0.32,2,3,2,2,FALSE
9,0.08,0.42,6,2,3,4,FALSE
8,0.56,0.45,5,4,4,1,TRUE
1,0.18,0.19,2,4,2,5,FALSE
10,0.74,0.12,4,4,4,1,TRUE
7,0.57,0.91,3,6,2,2,TRUE
6,0.76,0.21,3,1,3,3,FALSE
7,0.81,0.75,8,1,1,1,FALSE
12,0.94,0.65,4,7,1,2,FALSE
9,0.71,0.29,3,6,3,3,FALSE
4,0.09,0.17,3,2,4,3,FALSE
16,0.61,0.99,7,3,1,2,FALSE
11,0.99,0.52,3,2,4,4,FALSE
10,0.43,0.64,8,3,4,2,FALSE
16,0.7,0.17,6,1,5,3,TRUE
5,0.93,0.95,3,5,1,2,FALSE
8,0.51,0.11,6,6,4,4,TRUE
2,0.22,0.01,5,7,2,2,TRUE
3,0.32,0.45,4,4,5,5,TRUE
18,0.41,0.73,7,1,4,1,FALSE
6,0.1,0.06,7,5,3,3,TRUE
1,0.3,0.08,6,2,2,4,TRUE
4,0.93,0.07,1,7,5,1,FALSE
2,0.13,0.09,1,2,4,5,FALSE
15,0.23,0.28,2,2,4,5,FALSE
7,0.14,0.97,6,3,2,2,TRUE
7,0.33,0.99,7,3,1,2,TRUE
2,0.85,0.69,8,6,5,1,TRUE
7,0.43,0.79,7,3,2,2,TRUE
8,0.44,0.08,1,6,5,5,FALSE
10,0.3,0.65,2,7,1,5,FALSE
11,0.26,0.41,7,6,1,5,TRUE
1,0.61,0.22,6,7,2,1,TRUE
6,0.31,0.91,3,3,3,1,TRUE
9,0.84,0.57,5,7,5,5,FALSE
8,0.4,0.95,4,7,5,5,FALSE
12,0.81,0.7,1,6,3,3,FALSE
9,0.74,0.85,3,3,2,1,FALSE
18,0.01,0.74,3,7,5,4,TRUE
10,0.58,0.26,1,1,3,1,FALSE
4,0.45,0.16,2,5,1,3,FALSE
12,0.33,0.32,1,3,1,1,FALSE
14,0.69,0.36,7,5,1,2,FALSE
3,0.2,0.06,3,4,3,2,TRUE
7,0.45,0.23,6,5,5,1,TRUE
12,0.18,0.52,4,4,5,5,TRUE
13,0.51,0.04,4,1,4,4,TRUE
8,0.89,0.83,5,1,4,5,FALSE
5,0.4,0.87,2,6,2,3,FALSE
10,0.39,0.61,5,5,5,2,TRUE
13,0.34,0.61,4,4,5,5,FALSE
11,0.48,0.14,5,1,3,2,TRUE
4,0.06,0.11,3,7,5,3,TRUE
1,0.53,0.72,7,5,4,4,TRUE
14,0.81,0.78,6,5,4,4,FALSE
7,0.72,0.69,7,2,3,2,FALSE
12,0.43,0.71,8,2,3,2,FALSE
4,0.71,0.69,2,1,1,3,FALSE
2,0.42,0.85,7,7,3,5,FALSE
7,0.21,0.91,2,5,3,5,FALSE
17,0.4,0.12,6,5,5,1,TRUE
20,0.32,0.33,5,6,5,5,FALSE
2,0.47,0.24,6,4,4,1,TRUE
18,0.37,0.97,2,7,2,2,FALSE
8,0.35,0.53,7,3,1,1,TRUE
10,0.78,0.44,1,2,1,3,FALSE
6,0.77,0.44,7,2,5,4,FALSE
16,0.73,0.07,6,4,1,4,TRUE
4,0.81,0.68,1,2,1,3,FALSE
11,0.5,0.19,2,2,4,4,FALSE
4,0.79,0.54,3,2,5,3,FALSE
5,0.22,0.93,5,4,1,4,FALSE
2,0.91,0.93,4,3,2,2,FALSE
12,0.68,0.39,6,7,2,2,FALSE
6,0.62,0.36,7,7,5,4,FALSE
0,0.02,0.27,4,5,1,5,TRUE
4,0.54,0.16,5,1,1,3,TRUE
2,0.93,0.07,8,4,2,3,TRUE
16,0.24,0.67,1,6,5,5,FALSE
4,0.13,0.58,5,3,5,5,FALSE
4,0.35,0.88,2,6,5,1,FALSE
11,0.32,0.44,7,1,1,1,FALSE
15,0.82,0.44,1,2,1,4,FALSE
2,0.26,0.21,3,2,5,2,TRUE
8,0.66,0.43,1,4,2,3,FALSE
17,0.56,0.82,1,6,3,5,FALSE
13,0.09,0.04,1,4,1,5,FALSE
1,0.17,0.59,8,4,4,5,TRUE
2,0.45,0.68,5,7,3,5,FALSE
5,0.72,0.75,6,6,4,2,TRUE
2,0.68,0.43,6,5,1,5,FALSE
